"","climate_proj","mod","NAME","species","ToE","count"
"1736","8.5","Ensemble","LaHave Basin","Pandalus borealis",2093,1
"1737","8.5","Ensemble","LaHave Basin","Pollachius virens",2075,1
"1738","8.5","Ensemble","LaHave Islands","Amblyraja radiata",2064,1
"1739","8.5","Ensemble","LaHave Islands","Calanus finmarchicus",2093,1
"1740","8.5","Ensemble","LaHave Islands","Gadus morhua",2088,1
"1741","8.5","Ensemble","Long Eddy","Amblyraja radiata",2039,1
"1742","8.5","Ensemble","Long Eddy","Anarhichas lupus",2018,1
"1743","8.5","Ensemble","Long Eddy","Calanus finmarchicus",2076,1
"1744","8.5","Ensemble","Long Eddy","Chionoecetes opilio",2015,1
"1745","8.5","Ensemble","Long Eddy","Gadus morhua",2068,1
"1746","8.5","Ensemble","Long Eddy","Glyptocephalus cynoglossus",2062,1
"1747","8.5","Ensemble","Long Eddy","Hippoglossoides platessoides",2042,1
"1748","8.5","Ensemble","Long Eddy","Hippoglossus hippoglossus",2039,1
"1749","8.5","Ensemble","Long Eddy","Leucoraja ocellata",2093,1
"1750","8.5","Ensemble","Long Eddy","Malacoraja senta",2042,1
"1751","8.5","Ensemble","Long Eddy","Melanogrammus aeglefinus",2068,1
"1752","8.5","Ensemble","Long Eddy","Pandalus borealis",2076,1
"1753","8.5","Ensemble","Long Eddy","Pollachius virens",2054,1
"1754","8.5","Ensemble","Long Eddy","Sebastes fasciatus",2054,1
"1755","8.5","Ensemble","Long Eddy","Urophycis tenuis",2093,1
"1756","8.5","Ensemble","Lophelia Coral Conservation Area","Amblyraja radiata",2064,1
"1757","8.5","Ensemble","Lophelia Coral Conservation Area","Anarhichas lupus",2048,1
"1758","8.5","Ensemble","Lophelia Coral Conservation Area","Calanus finmarchicus",2092,1
"1759","8.5","Ensemble","Lophelia Coral Conservation Area","Chionoecetes opilio",2038,1
"1760","8.5","Ensemble","Lophelia Coral Conservation Area","Gadus morhua",2085,1
"1761","8.5","Ensemble","Lophelia Coral Conservation Area","Glyptocephalus cynoglossus",2075,1
"1762","8.5","Ensemble","Lophelia Coral Conservation Area","Hippoglossoides platessoides",2064,1
"1763","8.5","Ensemble","Lophelia Coral Conservation Area","Hippoglossus hippoglossus",2064,1
"1764","8.5","Ensemble","Lophelia Coral Conservation Area","Malacoraja senta",2064,1
"1765","8.5","Ensemble","Lophelia Coral Conservation Area","Pandalus borealis",2092,1
"1766","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Amblyraja radiata",2045,1
"1767","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Brosme brosme",2054,1
"1768","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Calanus finmarchicus",2076,1
"1769","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Chionoecetes opilio",2015,1
"1770","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Gadus morhua",2072,1
"1771","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Glyptocephalus cynoglossus",2062,1
"1772","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Hippoglossoides platessoides",2047,1
"1773","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Hippoglossus hippoglossus",2039,1
"1774","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Leucoraja ocellata",2093,1
"1775","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Malacoraja senta",2047,1
"1776","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Melanogrammus aeglefinus",2072,1
"1777","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Pandalus borealis",2076,1
"1778","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Pollachius virens",2061,1
"1779","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Sebastes fasciatus",2054,1
"1780","8.5","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Urophycis tenuis",2093,1
"1781","8.5","Ensemble","Middle Bank-Canso Bank","Chionoecetes opilio",2047,1
"1782","8.5","Ensemble","Middle Bank-Canso Bank","Gadus morhua",2092,1
"1783","8.5","Ensemble","Middle Bank-Canso Bank","Glyptocephalus cynoglossus",2088,1
"1784","8.5","Ensemble","Middle Bank-Canso Bank","Hippoglossoides platessoides",2073,1
"1785","8.5","Ensemble","Middle Bank-Canso Bank","Malacoraja senta",2073,1
